sample_id,source,target,bleu
0,english,tamil,0.19566880606105214
1,english,tamil,0.10593454012637488
2,english,tamil,0.17235042484319302
3,english,tamil,0.3385233977762263
4,english,tamil,0.2183153890536689
5,english,tamil,0.0
6,english,tamil,0.0
7,english,tamil,0.0
8,english,tamil,0.0
9,english,tamil,0.0
10,english,tamil,0.0
11,english,tamil,0.0
12,english,tamil,0.0
13,english,tamil,0.0
14,english,tamil,0.0
15,english,tamil,0.0
16,english,tamil,0.0
17,english,tamil,0.0
18,english,tamil,0.0
19,english,tamil,0.0
20,english,tamil,0.0
21,english,tamil,0.0
22,english,tamil,0.0
23,english,tamil,0.0
24,english,tamil,0.0
25,english,tamil,0.0
26,english,tamil,0.0
27,english,tamil,0.0
28,english,tamil,0.0
29,english,tamil,0.0
30,english,tamil,0.0
31,english,tamil,0.0
32,english,tamil,0.0
33,english,tamil,0.0
34,english,tamil,0.0
35,english,tamil,0.0
36,english,tamil,0.0
37,english,tamil,0.0
38,english,tamil,0.0
39,english,tamil,0.0
40,english,tamil,0.0
41,english,tamil,0.0
42,english,tamil,0.0
43,english,tamil,0.0
44,english,tamil,0.0
45,english,tamil,0.0
46,english,tamil,0.0
47,english,tamil,0.0
48,english,tamil,0.0
49,english,tamil,0.0
50,english,tamil,0.0
51,english,tamil,0.0
52,english,tamil,0.0
53,english,tamil,0.0
54,english,tamil,0.0
55,english,tamil,0.0
56,english,tamil,0.0
57,english,tamil,0.0
58,english,tamil,0.0
59,english,tamil,0.0
60,english,tamil,0.0
61,english,tamil,0.0
62,english,tamil,0.0
63,english,tamil,0.0
64,english,tamil,0.0
65,english,tamil,0.0
66,english,tamil,0.0
67,english,tamil,0.0
68,english,tamil,0.0
69,english,tamil,0.0
70,english,tamil,0.0
71,english,tamil,0.0
72,english,tamil,0.0
73,english,tamil,0.0
74,english,tamil,0.0
75,english,tamil,0.0
76,english,tamil,0.0
77,english,tamil,0.0
78,english,tamil,0.0
79,english,tamil,0.0
80,english,tamil,0.0
81,english,tamil,0.0
82,english,tamil,0.0
83,english,tamil,0.0
84,english,tamil,0.0
85,english,tamil,0.0
86,english,tamil,0.0
87,english,tamil,0.0
88,english,tamil,0.0
89,english,tamil,0.0
90,english,tamil,0.0
91,english,tamil,0.0
92,english,tamil,0.0
93,english,tamil,0.0
94,english,tamil,0.0
95,english,tamil,0.0
96,english,tamil,0.0
97,english,tamil,0.0
98,english,tamil,0.0
99,english,tamil,0.0
