bt_language,bleu_slope,rougeL_slope,chrf++_slope,meteor_slope,comet_slope,side_slope
arabic,-0.010102932104092148,-0.017484670388525886,-0.01778099537414594,-0.02154191323621591,0.0003033888961381792,0.004363517295628194
chinese,-0.009881060346045068,-0.02023691556508296,-0.009461836633894995,-0.020701723608053543,0.008600095443881246,0.009095143098704307
french,0.00798992272034716,-0.004611448528804262,0.00935402739356673,0.004113504830918926,0.015485409784992714,0.002102900362415058
hindi,-0.022159220236007148,-0.03375962116493405,-0.040388945633195415,-0.04231547534855886,-0.013387516569498882,-0.022830190784946885
portuguese,-0.005129374173855636,-0.011853218812142166,-0.0012037870454984028,-0.014345245462420334,0.010566901040209076,0.005609143303538126
spanish,0.0008210749566968321,-0.00885070404615445,0.00199241468697425,-0.006758037909520337,0.01292337154022808,0.00793894923383626
