model_name,bt_language,n,id_preserve_mean,id_low_rate,translit_rate
Qwen2.5-Coder-7B-Instruct,arabic,306,0.5794473930371308,0.6372549019607843,0.7810457516339869
Qwen2.5-Coder-7B-Instruct,chinese,306,0.6300914080723978,0.565359477124183,0.9509803921568627
Qwen2.5-Coder-7B-Instruct,french,306,0.600058205876862,0.6241830065359477,0.0032679738562091504
Qwen2.5-Coder-7B-Instruct,hindi,306,0.5199911427908679,0.7058823529411765,0.6993464052287581
Qwen2.5-Coder-7B-Instruct,portuguese,306,0.6813582348480488,0.5065359477124183,0.0
Qwen2.5-Coder-7B-Instruct,spanish,306,0.667706373501307,0.5392156862745098,0.0
codegemma-7b-it,arabic,306,0.6085146944139348,0.6051502145922747,0.9313725490196079
codegemma-7b-it,chinese,306,0.6274630331873068,0.5836909871244635,0.8986928104575164
codegemma-7b-it,french,306,0.6184527024718038,0.6051502145922747,0.0
codegemma-7b-it,hindi,306,0.6403783009599645,0.5579399141630901,0.9640522875816994
codegemma-7b-it,portuguese,306,0.6846058452883437,0.5064377682403434,0.0
codegemma-7b-it,spanish,306,0.6249225260880517,0.6051502145922747,0.0
deepseek-coder-6.7b-instruct,arabic,306,0.47109597832166106,0.7973856209150327,0.45751633986928103
deepseek-coder-6.7b-instruct,chinese,306,0.7621976667457648,0.3464052287581699,0.9738562091503268
deepseek-coder-6.7b-instruct,french,306,0.637088788658668,0.5947712418300654,0.0
deepseek-coder-6.7b-instruct,hindi,306,0.7140860639375997,0.4444444444444444,0.9640522875816994
deepseek-coder-6.7b-instruct,portuguese,306,0.6395727119131374,0.5490196078431373,0.0
deepseek-coder-6.7b-instruct,spanish,306,0.644319124537642,0.5718954248366013,0.0
gemma-2-9b-it,arabic,306,0.6635079090238958,0.5261437908496732,0.7418300653594772
gemma-2-9b-it,chinese,306,0.6614337279598851,0.5261437908496732,0.9248366013071896
gemma-2-9b-it,french,306,0.6648481059265069,0.5392156862745098,0.0
gemma-2-9b-it,hindi,306,0.6384220919497757,0.5392156862745098,0.696078431372549
gemma-2-9b-it,portuguese,306,0.6802764836088211,0.5032679738562091,0.0
gemma-2-9b-it,spanish,306,0.6711954144787486,0.5098039215686274,0.0
